Data,Nome do Produto,Quantidade,Lucro
2022-10-24,Produto C,72,559.68
2023-03-17,Produto A,94,929.58
2024-06-13,Produto C,8,411.11
2022-07-10,Produto A,70,494.15
2022-12-07,Produto A,21,21.46
2024-03-15,Produto B,77,486.58
2024-03-30,Produto C,21,395.33
2024-02-09,Produto C,42,602.47
2023-06-01,Produto C,23,60.9
2024-04-16,Produto D,37,214.93
2022-08-13,Produto B,45,629.33
2024-04-16,Produto A,49,153.2
2023-04-27,Produto C,10,318.71
2024-06-15,Produto D,12,243.47
2023-04-18,Produto A,69,494.45
2023-06-10,Produto B,72,263.02
2024-05-12,Produto D,88,788.41
2024-03-09,Produto C,30,75.59
2023-09-25,Produto A,8,848.11
2022-08-01,Produto C,77,164.61
2023-04-17,Produto B,11,48.4
2022-08-17,Produto B,85,534.53
2023-02-13,Produto D,56,169.1
2023-08-12,Produto D,63,469.48
2023-10-10,Produto B,93,33.47
2023-12-25,Produto C,12,177.66
2024-06-03,Produto A,7,841.38
2022-08-16,Produto C,59,512.79
2022-07-09,Produto A,71,773.37
2022-09-06,Produto B,46,456.33
2023-07-01,Produto B,43,72.26
2024-05-31,Produto C,47,102.46
2023-02-26,Produto D,39,122.43
2023-02-17,Produto B,23,234.72
2024-05-09,Produto B,8,125.13
2022-11-10,Produto C,10,904.47
2023-09-24,Produto B,2,297.25
2023-11-18,Produto A,87,405.75
2022-11-25,Produto A,16,339.16
2023-09-09,Produto A,88,235.13
2022-08-04,Produto C,2,532.18
2023-10-30,Produto B,2,742.29
2023-01-12,Produto C,4,727.28
2023-10-05,Produto D,51,681.29
2022-09-19,Produto C,34,806.57
2022-07-11,Produto B,86,44.26
2023-08-13,Produto D,11,736.15
2023-12-05,Produto D,85,706.98
2023-09-26,Produto C,72,169.29
2023-04-29,Produto D,37,287.2
2023-02-03,Produto B,92,375.27
2023-04-04,Produto C,79,852.63
2023-12-19,Produto D,55,112.3
2023-07-20,Produto C,38,837.57
2024-05-30,Produto A,39,236.0
2022-07-09,Produto C,63,376.15
2023-05-20,Produto B,68,755.61
2023-03-29,Produto C,55,790.6
2024-04-28,Produto B,100,581.06
2023-09-10,Produto C,25,553.4
2023-02-18,Produto D,43,716.99
2023-09-16,Produto C,66,560.6
2024-04-24,Produto A,9,307.37
2022-08-10,Produto D,81,923.39
2022-11-25,Produto D,9,563.56
2022-11-29,Produto B,44,16.24
2023-02-19,Produto C,100,154.93
2022-07-29,Produto B,9,60.84
2023-09-13,Produto B,50,522.92
2022-10-17,Produto D,47,579.17
2023-06-03,Produto C,22,77.94
2023-05-31,Produto D,94,235.9
2023-05-18,Produto B,89,800.28
2024-03-09,Produto B,94,329.08
2022-07-21,Produto C,55,838.68
2023-03-08,Produto C,17,379.3
2022-08-03,Produto C,93,236.68
2022-07-08,Produto A,42,716.22
2023-03-29,Produto D,26,82.88
2024-06-12,Produto A,70,865.79
2022-12-06,Produto B,57,640.45
2023-03-26,Produto A,4,182.5
2024-05-01,Produto B,78,621.13
2022-11-08,Produto C,78,342.99
2023-01-05,Produto A,84,298.58
2024-05-14,Produto C,26,299.94
2024-05-24,Produto D,90,786.51
2023-02-11,Produto C,57,488.87
2023-08-05,Produto A,62,862.88
2023-11-04,Produto D,17,195.15
2023-12-24,Produto C,72,290.63
2023-08-27,Produto A,39,963.78
2023-03-30,Produto B,67,805.53
2024-05-29,Produto A,93,509.64
2022-10-01,Produto C,99,433.27
2023-03-21,Produto D,98,507.65
2023-09-15,Produto A,53,351.07
2022-09-03,Produto C,57,691.43
2022-12-31,Produto A,92,562.83
2022-08-31,Produto C,68,725.25
2023-02-20,Produto D,40,243.25
2023-06-02,Produto A,82,32.75
2023-07-06,Produto C,63,169.94
2023-01-27,Produto A,22,773.81
2023-01-07,Produto B,31,825.13
2022-11-29,Produto D,65,728.27
2022-11-16,Produto C,41,74.95
2024-02-21,Produto A,36,45.01
2022-08-10,Produto B,44,104.68
2024-04-14,Produto B,48,749.14
2024-06-14,Produto B,68,180.95
2024-04-05,Produto B,26,868.99
2022-11-25,Produto B,92,772.39
2023-09-20,Produto C,29,140.18
2023-04-29,Produto A,5,619.59
2024-01-03,Produto D,32,718.27
2023-04-06,Produto C,78,635.5
2022-09-03,Produto C,94,408.29
2023-09-14,Produto D,39,709.73
2023-02-13,Produto D,13,407.09
2023-09-11,Produto A,64,89.51
2024-01-04,Produto C,33,128.17
2023-08-14,Produto A,53,801.48
2022-09-03,Produto D,83,219.54
2022-10-25,Produto D,77,106.11
2024-03-08,Produto D,78,658.69
2024-04-04,Produto B,84,30.59
2023-11-20,Produto A,71,904.41
2024-03-01,Produto C,62,789.78
2024-03-09,Produto D,52,446.62
2023-04-03,Produto B,33,63.89
2023-11-13,Produto A,97,122.12
2022-08-07,Produto A,98,58.53
2023-01-22,Produto D,90,392.4
2022-07-21,Produto A,79,959.49
2023-10-17,Produto B,68,100.07
2022-10-12,Produto D,41,972.21
2024-02-13,Produto A,47,664.22
2022-10-06,Produto A,63,129.16
2023-06-23,Produto A,30,774.32
2023-07-10,Produto C,59,174.61
2023-02-08,Produto C,12,885.07
2023-10-07,Produto A,73,381.34
2023-04-17,Produto B,78,429.42
2023-07-28,Produto A,86,533.71
2023-07-06,Produto C,9,817.54
2022-10-16,Produto B,83,985.33
2022-11-05,Produto C,70,73.28
2022-07-28,Produto D,75,102.49
2024-02-23,Produto B,91,192.84
2023-07-04,Produto A,19,887.11
2022-08-13,Produto B,74,170.29
2022-07-22,Produto D,48,479.84
2024-06-12,Produto B,100,636.6
2023-08-18,Produto B,27,659.06
2022-10-09,Produto A,70,501.47
2022-10-18,Produto C,40,77.04
2023-01-04,Produto A,58,667.9
2023-05-23,Produto D,74,884.61
2024-04-12,Produto C,99,349.51
2023-08-31,Produto A,21,624.41
2023-02-02,Produto A,84,137.13
2022-10-11,Produto B,18,876.29
2023-12-06,Produto B,25,395.93
2023-12-29,Produto A,74,87.98
2023-08-09,Produto B,91,289.43
2024-05-10,Produto A,85,605.2
2023-11-04,Produto A,46,377.95
2023-01-06,Produto B,10,353.79
2023-09-13,Produto A,7,513.41
2023-10-10,Produto B,20,875.22
2023-05-03,Produto A,93,803.86
2022-07-21,Produto B,44,664.0
2023-02-11,Produto B,91,90.87
2023-02-26,Produto A,39,611.49
2023-11-22,Produto A,27,620.36
2024-04-11,Produto A,22,989.5
2023-10-30,Produto C,60,248.3
2023-10-10,Produto D,41,55.33
2023-07-06,Produto D,64,402.85
2022-12-10,Produto B,58,381.92
2024-05-17,Produto D,24,289.82
2023-08-25,Produto C,47,124.05
2023-11-28,Produto B,13,191.37
2023-12-23,Produto C,75,767.0
2023-05-26,Produto C,25,821.26
2023-06-01,Produto C,21,39.36
2024-06-16,Produto C,65,60.8
2023-11-08,Produto A,38,901.28
2022-12-10,Produto A,19,765.8
2022-09-15,Produto D,94,735.87
2023-07-07,Produto B,59,679.61
2024-05-26,Produto A,11,194.04
2022-08-13,Produto C,16,198.12
2023-11-18,Produto C,39,589.4
2024-04-26,Produto C,97,272.08
2022-10-24,Produto B,52,446.48
2023-09-09,Produto D,60,652.66
2023-01-18,Produto C,94,637.16
2024-01-31,Produto C,96,621.49
2023-07-27,Produto D,47,297.69
2024-05-17,Produto B,31,275.98
2024-02-20,Produto B,15,774.05
2023-01-12,Produto D,46,715.12
2023-09-18,Produto D,72,487.56
2024-04-05,Produto C,3,424.92
2023-03-20,Produto C,66,64.1
2024-01-05,Produto C,82,547.12
2022-09-17,Produto A,38,107.58
2024-04-06,Produto B,55,769.33
2024-03-01,Produto B,59,437.53
2023-07-16,Produto C,58,916.02
2022-12-30,Produto D,75,136.11
2023-01-19,Produto B,45,370.26
2023-11-07,Produto A,7,58.21
2024-05-17,Produto C,78,898.51
2022-07-09,Produto A,37,393.0
2022-09-02,Produto A,47,56.63
2024-03-08,Produto B,89,412.9
2022-07-09,Produto B,24,700.8
2024-03-08,Produto C,31,206.66
2022-11-18,Produto B,45,803.07
2024-05-22,Produto A,45,234.41
2024-06-14,Produto B,85,352.12
2022-07-27,Produto D,96,17.6
2024-03-26,Produto C,82,540.89
2023-04-03,Produto D,52,627.11
2023-11-28,Produto C,43,800.02
2023-01-20,Produto A,53,779.28
2023-09-02,Produto C,10,828.16
2022-08-09,Produto B,42,67.73
2024-02-14,Produto B,80,37.23
2023-05-16,Produto A,22,751.65
2024-04-17,Produto C,57,523.78
2024-02-27,Produto A,88,184.74
2023-03-10,Produto A,75,674.2
2023-02-20,Produto D,74,870.02
2023-09-02,Produto B,30,160.57
2022-10-26,Produto A,16,580.77
2023-05-21,Produto B,93,621.88
2024-04-20,Produto B,1,513.25
2023-10-07,Produto A,87,296.5
2023-05-23,Produto C,94,640.76
2023-01-20,Produto D,26,182.13
2023-06-14,Produto C,34,355.27
2023-06-06,Produto A,19,437.77
2023-08-08,Produto B,40,428.7
2024-06-15,Produto C,48,483.08
2022-12-22,Produto D,60,530.07
2024-02-06,Produto B,12,411.1
2023-05-26,Produto D,44,803.64
2023-07-11,Produto C,1,305.44
2024-05-31,Produto C,5,145.32
2023-09-21,Produto A,15,482.82
2022-12-27,Produto D,18,940.12
2023-02-15,Produto A,12,771.46
2023-07-25,Produto C,70,465.07
2024-04-16,Produto A,3,11.25
2022-10-29,Produto C,67,876.5
2024-03-14,Produto D,100,798.57
2023-10-03,Produto D,19,824.03
2024-04-05,Produto C,9,893.73
2022-07-24,Produto A,11,956.3
2023-04-19,Produto B,52,744.87
2022-08-20,Produto B,8,845.76
2023-03-31,Produto D,24,296.45
2023-01-06,Produto C,81,164.8
2023-07-11,Produto A,94,514.26
2023-01-09,Produto C,62,236.98
2022-10-13,Produto A,80,895.16
2022-11-03,Produto C,61,970.31
2024-03-05,Produto B,46,661.21
2024-03-30,Produto A,51,489.88
2023-01-29,Produto A,97,17.73
2022-07-26,Produto D,2,991.14
2023-02-05,Produto B,16,410.22
2024-01-15,Produto C,72,70.12
2023-09-20,Produto D,13,374.7
2023-08-04,Produto C,13,875.91
2023-04-08,Produto C,92,453.98
2023-02-15,Produto C,78,301.52
2023-07-30,Produto A,80,428.41
2023-05-16,Produto B,45,216.0
2023-05-14,Produto B,35,155.33
2023-02-19,Produto D,69,531.95
2024-04-15,Produto A,5,442.79
2023-10-03,Produto B,82,383.87
2023-10-08,Produto D,53,474.62
2022-10-12,Produto A,58,279.35
2023-01-09,Produto B,67,976.73
2023-04-24,Produto A,88,810.15
2022-09-11,Produto C,27,746.15
2024-03-21,Produto D,17,917.44
2023-02-22,Produto A,38,193.46
2023-06-20,Produto B,87,22.06
2023-08-04,Produto C,64,980.92
2023-10-21,Produto C,93,112.18
2024-05-22,Produto A,99,824.81
2023-03-18,Produto C,78,458.66
2024-02-20,Produto A,59,179.81
2023-09-21,Produto C,41,480.51
2023-01-25,Produto D,90,216.64
2024-05-29,Produto D,8,462.2
2023-04-06,Produto A,68,49.42
2024-03-28,Produto A,42,666.05
2024-02-29,Produto C,62,914.06
2023-05-30,Produto B,38,491.63
2022-12-26,Produto C,73,399.63
2023-10-28,Produto A,95,285.22
2023-10-28,Produto A,98,701.6
2022-12-11,Produto C,13,708.14
2022-12-06,Produto A,57,410.35
2022-12-24,Produto D,26,784.18
2023-06-28,Produto C,49,101.56
2023-05-03,Produto C,12,68.66
2022-10-12,Produto C,10,595.67
2024-04-22,Produto C,55,62.17
2022-11-12,Produto B,49,60.74
2023-09-20,Produto B,70,586.31
2024-03-25,Produto C,86,352.23
2023-05-10,Produto C,96,299.22
2022-11-29,Produto B,64,915.19
2023-09-27,Produto D,4,704.21
2023-01-21,Produto C,26,450.91
2024-03-08,Produto C,3,325.26
